                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.5619,                0.33999,                0.90989,                0.94094,                0.99561,                0.98994,                 0.8514,                0.64475,                0.37263,                0.94138,             0.00031373,             0.00031373,             0.00031373
                     84,                0.56492,                0.34383,                0.90433,                0.96228,                0.96522,                0.99061,                0.85485,                0.64646,                0.36911,                0.93701,             0.00029723,             0.00029723,             0.00029723
                     85,                0.55285,                0.33179,                0.90198,                0.94511,                0.99415,                0.99064,                0.85593,                0.62769,                0.35094,                0.93308,             0.00028072,             0.00028072,             0.00028072
                     86,                0.55193,                0.33723,                0.90217,                0.97145,                0.96849,                 0.9895,                0.84846,                0.64631,                0.35711,                 0.9326,             0.00026422,             0.00026422,             0.00026422
                     87,                0.53697,                0.32817,                 0.9025,                0.95282,                0.99561,                0.99119,                0.84313,                0.64988,                0.36375,                0.93933,             0.00024772,             0.00024772,             0.00024772
                     88,                0.54227,                0.32798,                0.90146,                0.95488,                0.98644,                0.99111,                0.85028,                0.64622,                0.36108,                0.92622,             0.00023121,             0.00023121,             0.00023121
                     89,                0.53793,                0.32796,                0.90329,                0.97524,                0.96118,                0.99137,                0.85261,                0.63718,                0.35503,                0.93075,             0.00021471,             0.00021471,             0.00021471
                     90,                0.53327,                0.32399,                0.90213,                0.94823,                0.99708,                0.99177,                0.85855,                0.63602,                0.35707,                0.93275,             0.00019821,             0.00019821,             0.00019821
                     91,                0.53183,                0.30682,                 0.9006,                0.97738,                0.94596,                0.98855,                0.84784,                0.64115,                0.36381,                0.94495,              0.0001817,              0.0001817,              0.0001817
                     92,                0.51021,                0.29669,                 0.8822,                0.98267,                0.93512,                0.98956,                0.84856,                0.64143,                0.35883,                0.93925,              0.0001652,              0.0001652,              0.0001652
                     93,                0.50268,                 0.2935,                0.88455,                0.95566,                0.97063,                0.98856,                0.85126,                0.63003,                0.35367,                0.92749,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.4981,                0.28926,                0.88111,                0.96963,                0.96191,                0.98916,                0.84864,                0.62702,                0.35418,                0.92861,             0.00013219,             0.00013219,             0.00013219
                     95,                0.49366,                0.28376,                0.87798,                0.98457,                 0.9587,                0.99101,                0.85718,                0.62977,                0.34852,                0.92296,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48809,                0.28389,                0.87482,                0.97862,                0.95406,                0.98931,                0.84686,                0.62806,                0.35028,                0.92452,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.47533,                0.27862,                0.86812,                0.97713,                0.95443,                0.99092,                 0.8458,                 0.6247,                0.35159,                0.92116,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.47315,                0.27434,                0.87181,                0.94563,                 0.9856,                0.99059,                0.85669,                 0.6235,                 0.3477,                0.92111,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.47336,                0.27381,                0.87081,                0.97747,                0.95085,                 0.9906,                0.86088,                0.61735,                0.35352,                0.92249,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.47663,                0.27261,                0.86849,                0.97965,                0.95223,                 0.9904,                0.85912,                0.61916,                 0.3496,                0.92251,             3.3173e-05,             3.3173e-05,             3.3173e-05
